,GTIN,Brand,Manufacturer,a,Primary Description,Regulated Product Name,No. & size (unit),Version,a,Retail,Listing,,My Rise,Overall,,Brandbank (Group),,Category,Sub-Cat.,Prod. Group,,Further Description,a,Features,Serve,a,Variental,ABV (%),Lower Age Limit,"Allergy, additive, and lifestyle advice",Safety Warnings,Packaging,Measurements (W/H/D),Ingredients,a,Portion Type,Energy in kcal,Energy in kJ,Protein,Carbs,Total Sugar,Fat,Sat Fat,Fibre,Sodium,Salt,Salt Equiv.,
,9311220004343,19 Crimes,Treasury Wine Estates EMEA Limited,a,19 Crimes Red Wine 750ml,Red Australian Wine,750ml,19/03/2015,a,8,8.49,,6%,16%,,Red Wine,,Alcohol,Wine,Red,,Intense lifted vanilla aromatics balanced with ripe red berry fruits. The palate finishes soft and fruity with a pleasant lingering freshness.,a,"Wine of South Eastern, Australia", ,a,RedGrapeBlend,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5060093990515,6 O'clock Gin,Bramley & Gage Ltd,a,6 O'clock Gin Strikingly Smooth 70cl,Strikingly Smooth,70cl,14/10/2015,a,30,31.99,,7%,17%,,Sprits & Liqueurs,,Alcohol,Spirits,Gin,,"6 O'Clock is a refreshing smooth gin with a clean flavour led by Juniper. The smoothness flows from our custom-built copper pot still with its unique double sphere head, together with the selection of botanicals and our distiller's craft; only the pure heart of each run makes the cut.",a,, ,a,,43%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,243 x 88 x 88,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010739197310,Aberlour,Aberlour Distillery Company Ltd,a,Aberlour Highland Single Malt Scotch Whisky 10 Year Old 70cl,Highland Single Malt Scotch Whisky,70cl,16/11/2015,a,30,31.99,,7%,17%,,Sprits & Liqueurs,,Alcohol,Spirits,Scotch,,"Exceptionally smooth and creamy, with spicy-sweet nutmeg and honey combining with the freshness of autumn fruitsA welcoming, vibrant and rewarding malt from the Highlands of Scotland. Matured in a combination of hand-selected traditional and Sherry oak casks for a minimum of ten years, this expression represents the very essence of Aberlour character.

Colour: Gold.
Nose: The dry, fresh, fruity aromas of early autumn apples and pears are subtly enhanced with sweet notes of vanilla and mint toffee.
Palate: Exceptionally smooth and creamy, with spicy-sweet nutmeg and honey combining with the freshness of autumn fruits.
Finish: Long, soft and warming.",a,Single malt whisky (gift box), ,a,,40%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,316 x 87 x 87,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7312040017683,Absolut,The Absolut Company AB,a,Absolut Vodka 70cl,Vodka,700ml,22/03/2016,a,18,19.99,,11%,21%,,Sprits & Liqueurs,,Alcohol,Spirits,Vodka,,Every drop of this superb vodka has been crafted only with Swedish winter wheat near the small town of Ahus and continues a determined commitment to the pursuit of perfection since 1879.,a,Distilled from grain, ,a,,40%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,227 x 86 x 86,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010998992473,Adeletto,,a,Adeletto Prosecco DOC Vino Spumante 750ml,Vino Spumante - White Italian Wine,75cl,13/01/2015,a,6.5,6.99,,8%,18%,,White Wine,,Alcohol,Wine,Sparkling,,"Made from the finest grapes in the area, this wine is a fresh and delicate Prosecco with citrus fruit and white flower aromas. Fresh and delicate Prosecco with citrus fruit and white flowers aromas. The ideal partner for refined appetizers and delicate fish, white meats and fresh cheese dishes.",a,Wine of Italy,"The ideal partner for refined appetizers and delicate fish, white meats and fresh cheese dishes ",a,Glera,11%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,307 x 93 x 93,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000426171518,After Eight,,a,After Eight Carton 300g,Dark chocolates with peppermint flavoured fondant cream centre.,300g,04/09/2015,a,3.19,3.49,,9%,19%,,Confectionery,,Food,Sweets,Luxury,,"After Eight wafer thin mints in their classic carton are the nation's favourite after dinner mints. Each square piece is the perfect balance of soft, refreshing mint fondant with thin dark chocolate, making it the finishing touch to any meal.",a,"Wafer thin pieces of mint fondant wrapped in dark chocolate, each in their own crisp envelope

Flavoured with 100% natural peppermint oil", ,a,,,," Contains: Milk

May Contain: Nuts, Peanuts

Free From: Gluten, Eggs   ",, - ,59 x 192 x 59,"Sugar  , Cocoa Mass  , Glucose Syrup  , Cocoa Butter, Butterfat (from Milk), Emulsifier (Sunflower Lecithin), Natural Peppermint Oil, Citric Acid, Stabiliser (Invertase)",a,per 100 (ml/g),1786,424,13,8,74,67,2,3, -   ,0, -   ,
,5060045581594,After Shock,,a,After Shock Hot & Cool Cinnamon Liqueur 70cl,,70cl,09/11/2011,a,22,23.99,,9%,19%,,Sprits & Liqueurs,,Alcohol,Spirits,Speciality,,Hot & cool cinnamon liqueur ,a,,For full effect serve chilled. For full effect serve chilled,a,,30%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Pack - Glass - ,228 x 117 x 62,E123 with Colouring ,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,8712436107377,Amaretto di Antonio,,a,Amaretto di Antonio 50cl,Aromatised alcoholic drink,50cl,29/06/2015,a,8,8.49,,6%,16%,,Sprits & Liqueurs,,Alcohol,Spirits,Speciality,,This classic Amaretto with its sweet and elegant tasteMade according to a traditional recipe. This classic Amaretto with its sweet and elegant taste can be enjoyed as an after dinner drink.,a,,Can be enjoyed as an after dinner drink. Also try Amaretto di Antonio on the rocks or with orange juice Also try Amaretto di Antonio on the rocks or with orange juice.,a,,22%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,237 x 98 x 56,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000143555271,Amber Leaf,Japan Tobacco International,a,Amber Leaf 50g,,50g,07/11/2014,a,17.8,19.99,,12%,22%,,Cigarettes & Lighters,,Other,Tobacco,Rolling,,"The Opening the Pack Moment
The moment you open the pouch you'll get the full rich aroma of Amber Leaf.
The pouch uses premium materials and additional layers to lock in the moisture and freshness that you expect.",a,"Quality from seed to pouch

Includes 100 medium weight papers with cut corners for easy rolling", ,a,,,Statutory 18 Years,    ,"Smoking kills, and will harm you and others around you. It's highly addictive, and it's better not to start. Smoking may reduce blood flow, and causes impotence. The risk of Coronary Heart Disease is reduced by 50% 1 year after stopping. Stopping also reduces the risk of fatal heart and lung diseases.", - ,72 x 151 x 24,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000143559248,Amber Leaf,Japan Tobacco International,a,Amber Leaf Blonde 12.5g,,12.5g,07/11/2014,a,4.89,5.49,,12%,22%,,Cigarettes & Lighters,,Other,Tobacco,Rolling,,Mellow cut blonde rolling tobacco,a,"Quality from seed to pouch

A smooth blend with a cigarette like taste

Includes 50 medium weight papers with cut corners for easy rolling

Convenient format with papers and a mini_pouch", ,a,,,Statutory 18 Years,    ,"Smoking kills, and will harm you and others around you. It's highly addictive, and it's better not to start. Smoking may reduce blood flow, and causes impotence. The risk of Coronary Heart Disease is reduced by 50% 1 year after stopping. Stopping also reduces the risk of fatal heart and lung diseases.", - ,88 x 59 x 24,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000143559262,Amber Leaf,Japan Tobacco International,a,Amber Leaf Blonde 25g,,25g,07/11/2014,a,8.99,9.99,,11%,21%,,Cigarettes & Lighters,,Other,Tobacco,Rolling,,"This hand rolling is produced to the highest standards of quality.

Look closely. You'll see Amber Leaf Blonde has a distinctive paler colour than the tobacco you might be used to.

Feel the difference - The leaf has been cut into long strands for easier rolling.

Finally, leave it to your taste - The leaf has been carefully selected from the pick of the world's premium tobacco harvests.

Amber Leaf Blonde, unmistakably smooth tasting, easy-rolling and mellow.",a,"Quality from seed to pouch

A smooth blend with a cigarette like taste

Includes 50 medium weight papers with cut corners for easy rolling

The pouch uses premium materials and additional layers to lock in the moisture and freshness that you expect", ,a,,,Statutory 18 Years,    ,"Smoking kills, and will harm you and others around you. It's highly addictive, and it's better not to start. Smoking may reduce blood flow, and causes impotence. The risk of Coronary Heart Disease is reduced by 50% 1 year after stopping. Stopping also reduces the risk of fatal heart and lung diseases.", - ,73 x 155 x 20,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
